1,"آذربایجان شرقی"
2,"آذربایجان غربی"
3,اردبیل
4,اصفهان
5,ایلام
6,بوشهر
7,تهران
8,"چهارمحال بختیاری"
9,"خراسان جنوبی"
10,"خراسان رضوی"
11,"خراسان شمالی"
12,خوزستان
13,زنجان
14,سمنان
15,"سیستان و بلوچستان"
16,فارس
17,قزوین
18,قم
19,كردستان
20,كرمان
21,كرمانشاه
22,"كهكیلویه و بویراحمد"
23,گلستان
24,گیلان
25,لرستان
26,مازندران
27,مركزی
28,هرمزگان
29,همدان
30,یزد
