1,"آذربایجان شرقی",32,0
2,"آذربایجان غربی",32,0
3,اردبیل,32,0
4,اصفهان,32,0
5,ایلام,32,0
6,بوشهر,32,0
7,تهران,32,0
8,"چهارمحال بختیاری",32,0
9,"خراسان جنوبی",32,0
10,"خراسان رضوی",32,0
11,"خراسان شمالی",32,0
12,خوزستان,32,0
13,زنجان,32,0
14,سمنان,32,0
15,"سیستان و بلوچستان",32,0
16,فارس,32,0
17,قزوین,32,0
18,قم,32,0
19,كردستان,32,0
20,كرمان,32,0
21,كرمانشاه,32,0
22,"كهكیلویه و بویراحمد",32,0
23,گلستان,32,0
24,گیلان,32,0
25,لرستان,32,0
26,مازندران,32,0
27,مركزی,32,0
28,هرمزگان,32,0
29,همدان,32,0
30,یزد,32,0
